Name,Source,Role
Jacques Prevert,The Exquisite Corpse,Writer
Jacques Rigaud,Manifestoes of Surrealism,Artist
Jacques Rousseau,Paris Peasant,Philosopher
Jacques Rousseau,Nadja,Philosopher
Jacques Vache,Nadja,Surrealist
Jacques Vache,Punishments of Hell,Surrealist
Jacques Vache,Manifestoes of Surrealism,Surrealist
Jean Carrive,Manifestoes of Surrealism,Surrealist
Jean Jaures,Paris Peasant,Socialist
Jean Paulham,Manifestoes of Surrealism,Writer
Joan of Arc,Death to the Pigs,Saint
Joseph Delteil,Manifestoes of Surrealism,Surrealist
Joseph Joffre,Death to the Pigs,Military
Jules Mary,Punishments of Hell,Writer
Jules Verne,Paris Peasant,Writer
Juliette Drouet,Nadja,Actress
Knut Hamsum,Manifestoes of Surrealism,Writer
Lady Cynthia,Babylon,Fictional character
Lady Macbeth,Babylon,Fictional character
Lieutenant Condamine,Death to the Pigs,Military
Louis Aragon,Manifestoes of Surrealism,Surrealist
Louis Aragon,Nadja,Surrealist
Louis Aragon,Punishments of Hell,Surrealist
Louis V,Nadja,French Royalty
Louis X,Paris Peasant,French Royalty
Louis X,Manifestoes of Surrealism,French Royalty
Madame Aubry,Nadja,Unknown
Madame Cam,Nadja,Unknown
Madame Campan,Babylon,Unknown
Madame Deluc,Manifestoes of Surrealism,Unknown
Madame High,Babylon,Unknown
Madame Sierri,Nadja,Unknown
Madame Superior,Magnetic Fields,Unknown
Mademoiselle Cynthia,Babylon,Fictional character
Mademoiselle Solange,Nadja,Fictional character
Man Ray,Manifestoes of Surrealism,Surrealist
Marcel Duchamp,Manifestoes of Surrealism,Surrealist
Marcel Duchamp,Nadja,Surrealist
Marcel Duchamp,The Exquisite Corpse,Surrealist
Marcel Fourrier,Manifestoes of Surrealism,French politician
Marcel Noll,Paris Peasant,Surrealist
Marcel Noll,Manifestoes of Surrealism,Surrealist
Marcel Noll,Nadja,Surrealist
Marie Roget,Manifestoes of Surrealism,Fictional character
Max Ernst,Manifestoes of Surrealism,Surrealist
Max Ernst,Nadja,Surrealist
Max Morise,Paris Peasant,Surrealist
Max Morise,Manifestoes of Surrealism,Surrealist
Max Morise,Punishments of Hell,Surrealist
May Woodson,Punishments of Hell,Unknown
Michel Marty,Manifestoes of Surrealism,Unknown
Mirette Mattrejean,Punishments of Hell,Unknown
Miss Flowers,Punishments of Hell,Surrealist
Miss Fork,Babylon,Fictional character
Monsieur Delouit,Nadja,Unknown
Monsieur Landruis,Paris Peasant,Serial killer
Monsieur Oudin,Paris Peasant,Clockmaer
Monsieur Poincare,The Exquisite Corpse,French politician
Monsieur Poincare,Death to the Pigs,French politician
Pablo Picasso,Punishments of Hell,Artist
Paul Claudel,Manifestoes of Surrealism,Poet
Paul Eluard,Paris Peasant,Surrealist
Paul Eluard,Manifestoes of Surrealism,Surrealist
Paul Eluard,Nadja,Surrealist
Paul Eluard,Punishments of Hell,Surrealist
Paul Eluard,Letters to Gala,Surrealist
Paul Valery,Manifestoes of Surrealism,Writer
Philippe Soupault,Paris Peasant,Surrealist
Philippe Soupault,Manifestoes of Surrealism,Surrealist
Philippe Soupault,Nadja,Surrealist
Philippe Soupault,Punishments of Hell,Surrealist
Pierre Naville,Manifestoes of Surrealism,Surrealist
Pierre Reverdy,Manifestoes of Surrealism,Surrealist
Pierre Unik,Manifestoes of Surrealism,Surrealist
President Wilson,Nadja,President
Prince Rupert,Magnetic Fields,Royalty
Professor Claude,Manifestoes of Surrealism,Professor
Professor Claude,Nadja,Professor
Professor Janet,Manifestoes of Surrealism,Professor
Raymond Roussel,Manifestoes of Surrealism,Writer
Robert Desnos,Paris Peasant,Surrealist
Robert Desnos,Manifestoes of Surrealism,Surrealist
Robert Desnos,Nadja,Surrealist
Robert Desnos,Punishments of Hell,Surrealist
Roger Vitrac,Manifestoes of Surrealism,Surrealist
Roger Vitrac,Punishments of Hell,Surrealist
Rrose Selavy,Nadja,Surrealist
Saint Arseho,Death to the Pigs,Saint
Saint Denis,Manifestoes of Surrealism,Saint
Saint John,Death to the Pigs,Saint
Saint Louis,Death to the Pigs,Saint
Saint Paul,Death to the Pigs,Saint
Saint Theresa,Death to the Pigs,Saint
Saint Thomas Aquinas,Manifestoes of Surrealism,Saint
Salvador Dali,Manifestoes of Surrealism,Surrealist
Serge Voronoff,Death to the Pigs,Surgeon
Sherlock Holmes,Manifestoes of Surrealism,Fictional character
Sigmund Freud,Paris Peasant,Psychologist
Sigmund Freud,Manifestoes of Surrealism,Psychologist
Simone Breton,Punishments of Hell,Surrealist
Stendhal,Manifestoes of Surrealism,Writer
Thomas Carlyle,Manifestoes of Surrealism,Writer
Tristan Tzara,Manifestoes of Surrealism,Surrealist
Tristan Tzara,Nadja,Surrealist
Tristan Tzara,Punishments of Hell,Surrealist
William James,Manifestoes of Surrealism,Philosopher
Yves Tanguy,The Exquisite Corpse,Surrealist
