Name Identified,Source,Role
Marcel Noll,Manifestoes of Surrealism,Surrealist
Georges Malkin,Manifestoes of Surrealism,Unknown
Antontin Artaud,Manifestoes of Surrealism,Surrealist
Francis Girard,Manifestoes of Surrealism,Unknown
Pierre Naville,Manifestoes of Surrealism,Unknown
(J. A. Boiffard),Manifestoes of Surrealism,Unknown
Jacques Baron,Manifestoes of Surrealism,Unknown
Francis Picabia,Manifestoes of Surrealism,Surrealist
Marcel Duchamp,Manifestoes of Surrealism,Surrealist
Pierre Reverdy,Manifestoes of Surrealism,Surrealist
Guillaume Apollinaire,Manifestoes of Surrealism,Surrealist
Knut Hamsum,Manifestoes of Surrealism,Writer
Thomas Carlyle,Manifestoes of Surrealism,Writer
Isidore Ducasse,Manifestoes of Surrealism,Unknown
Gustave Moreau,Manifestoes of Surrealism,Unknown
Roger Vitrac,Manifestoes of Surrealism,Unknown
Etienne Marcel,Manifestoes of Surrealism,Unknown
Louis X,Manifestoes of Surrealism,French Royalty
Man Ray,Manifestoes of Surrealism,Surrealist
Max Ernst,Manifestoes of Surrealism,Surrealist
Saint Denis,Manifestoes of Surrealism,Saint
Professor Claude,Manifestoes of Surrealism,Professor
Professor Janet,Manifestoes of Surrealism,Professor
Alphonse Rabbe,Manifestoes of Surrealism,Unknown
Paul Claudel,Manifestoes of Surrealism,Unknown
Sherlock Holmes,Manifestoes of Surrealism,Fictional character
Edgar Poe,Manifestoes of Surrealism,Poet
Alfred Jarry,Manifestoes of Surrealism,Unknown
Pierre Unik,Manifestoes of Surrealism,Unknown
Tristan Tzara,Manifestoes of Surrealism,Surrealist
Hegel,Manifestoes of Surrealism,Philosopher
Michel Marty,Manifestoes of Surrealism,Unknown
Boris Souvarine,Manifestoes of Surrealism,Unknown
Marcel Fourrier,Manifestoes of Surrealism,Unknown
Marie Roget,Manifestoes of Surrealism,Unknown
Madame Deluc,Manifestoes of Surrealism,Unknown
Raymond Roussel,Manifestoes of Surrealism,Unknown
Jacques Vash,Manifestoes of Surrealism,Unknown
Jacques Rigaud,Manifestoes of Surrealism,Unknown
Salvador Dalí,Manifestoes of Surrealism,Surrealist
Avida Dollars,Manifestoes of Surrealism,Surrealist
Father Duchesne,Manifestoes of Surrealism,Unknown
William James,Manifestoes of Surrealism,Unknown
Emile Duclaux,Manifestoes of Surrealism,Unknown
Juliette Drouet,Nadja,Unknown
Tristan Tzara,Nadja,Surrealist
Paul Eluard,Nadja,Surrealist
Etienne Dolet,Nadja,Unknown
Paul Eluard,Nadja,Surrealist
Philippe Soupault,Nadja,Surrealist
Jacques Rousseau,Nadja,Philosopher
Benjamin Peret,Nadja,Surrealist
Robert Desnos,Nadja,Surrealist
Marcel Duchamp,Nadja,Surrealist
Rrose Selavy,Nadja,Surrealist
President Wilson,Nadja,President
Jacques Vach,Nadja,Unknown
Mademoiselle Solange,Nadja,Unknown
Blanche Derval,Nadja,Unknown
Marcel Noll,Nadja,Surrealist
Louis Aragon,Nadja,Surrealist
Fanny Beznos,Nadja,Unknown
Henri I,Nadja,Unknown
Louis V,Nadja,French Royalty
Madame Sierri,Nadja,Unknown
Madame Cam,Nadja,Unknown
Madame Aubry,Nadja,Unknown
Max Ernst,Nadja,Surrealist
Henri Matisse,Nadja,Artist
Professor Claude,Nadja,Professor
Henri Becque,Nadja,Unknown
Monsieur Delouit,Nadja,Unknown
Marcel Duchamp,The Exquisite Corpse,Surrealist
Jacques Prevert,The Exquisite Corpse,Unknown
Yves Tanguy,The Exquisite Corpse,Surrealist
Benjamin Peret,The Exquisite Corpse,Surrealist
Monsieur Poincar,The Exquisite Corpse,Unknown
Madame Superior,Magnetic Fields,Unknown
Prince Rupert,Magnetic Fields,Royalty
Miss Fork,Babylon,Unknown
Cousin Cynthia,Babylon,Unknown
Empress Eugenie,Babylon,Unknown
Alfred Petitdemange,Babylon,Unknown
Francois Premier,Babylon,Unknown
Petit Larousse,Babylon,Unknown
Aunt Sophie,Babylon,Unknown
Lady Macbeth,Babylon,Fictional character
Lady Cynthia,Babylon,Unknown
Mademoiselle Cynthia,Babylon,Unknown
Madame High,Babylon,Unknown
Madame Campan,Babylon,Unknown
Louis Aragon,Punishments of Hell,Surrealist
André Breton,Punishments of Hell,Surrealist
Roger Vitrac,Punishments of Hell,Surrealist
Paul Eluard,Punishments of Hell,Surrealist
Max Morise,Punishments of Hell,Surrealist
Miss Flowers,Punishments of Hell,Surrealist
Benjamin Peret,Punishments of Hell,Surrealist
Tristan Tzara,Punishments of Hell,Surrealist
May Woodson,Punishments of Hell,Unknown
Simone Breton,Punishments of Hell,Unknown
Robert Desnos,Punishments of Hell,Surrealist
Philippe Soupault,Punishments of Hell,Surrealist
Georges Limbour,Punishments of Hell,Unknown
Jacques Baron,Punishments of Hell,Unknown
Georges Auric,Punishments of Hell,Unknown
Francis Picabia,Punishments of Hell,Surrealist
Mirette Mattrejean,Punishments of Hell,Unknown
Gustave Aimard,Punishments of Hell,Unknown
Archduke Rudolf,Punishments of Hell,Unknown
Jules Mary,Punishments of Hell,Unknown
Pablo Picasso,Punishments of Hell,Artist
Isidore Ducasse,Punishments of Hell,Unknown
Arthur Rimbaud,Punishments of Hell,Poet
Alfred Jarry,Punishments of Hell,Unknown
Guillaume Apollinaire,Punishments of Hell,Surrealist
Jacques Vach,Punishments of Hell,Unknown
Eugene Sue,Punishments of Hell,Unknown
Germain Nouveau,Punishments of Hell,Unknown
Paul Eluard,Letters to Gala,Surrealist
Gala (Eluard/Dalí),Letters to Gala,Surrealist
André Gide,Death to the Pigs,Unknown
(Joan of Arc),Death to the Pigs,Saint
Charles VII,Death to the Pigs,French Royalty
Saint John,Death to the Pigs,Saint
Saint Paul,Death to the Pigs,Saint
Saint Louis,Death to the Pigs,Saint
Saint Theresa,Death to the Pigs,Saint
Saint Arseho,Death to the Pigs,Saint
Lieutenant Condamine,Death to the Pigs,Unknown
Anatole Crasse,Death to the Pigs,Unknown
Monsieur Poincare,Death to the Pigs,Unknown
Doctor Voronoff,Death to the Pigs,Unknown
General Joffre,Death to the Pigs,Unknown
Boulounge Shootgrove,Death to the Pigs,Unknown
